#PLT-Keyword;PlannedTransportID;PlannedTransportCode;PathSegmentCode;Departure;Arrival;Capacity;TotalPrice;Unnamed: 8;CapacityAbsDiff001;CapacityAbsDiff002;CapacityAbsDiff003;CapacityAbsDiff004;CapacityAbsDiff005;CapacityAbsDiff006;CapacityAbsDiff007;CapacityAbsDiff008;CapacityAbsDiff009;CapacityAbsDiff010;MeanNormalized;StdRelative;StdAbsolute;AdjustedCapacity
PLT;1;transport0001;GER01PLANTGER02TERM-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;23.0;2070.0;;1.3478260869565217;1.2608695652173914;1.0434782608695652;1.0869565217391304;1.1304347826086956;1.0434782608695652;1.0434782608695652;1.2173913043478262;1.0869565217391304;0.9565217391304348;1.2391081663280752;0.48041452863877254;11.049534158691769;17.449953666853958
PLT;2;transport0002;GER01PLANTGER02TERM-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;18.0;1620.0;;1.0555555555555556;1.1111111111111112;1.0555555555555556;1.1111111111111112;1.3333333333333333;;0.9444444444444444;1.1111111111111112;1.0555555555555556;1.1666666666666667;1.2391081663280752;0.48041452863877254;8.647461515497906;13.656485478407447
PLT;3;transport0003;GER01PLANTGER02TERM-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;9.0;810.0;;1.2222222222222223;0.8888888888888888;0.8888888888888888;1.0;1.0;1.3333333333333333;;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.2391081663280752;0.48041452863877254;4.323730757748953;6.8282427392037235
PLT;4;transport0004;GER01PLANTGER02TERM-TRUCK-01;05/06/2025-00:00:00;07/06/2025-00:00:00;9.0;810.0;;1.0;0.7777777777777778;0.7777777777777778;1.0;1.1111111111111112;1.2222222222222223;1.4444444444444444;1.0;1.1111111111111112;1.2222222222222223;1.2391081663280752;0.48041452863877254;4.323730757748953;6.8282427392037235
PLT;5;transport0005;GER01PLANTGER02TERM-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;18.0;1620.0;;0.8888888888888888;1.0555555555555556;1.1111111111111112;0.9444444444444444;0.8888888888888888;1.2777777777777777;1.3888888888888888;1.0;1.1666666666666667;1.0555555555555556;1.2391081663280752;0.48041452863877254;8.647461515497906;13.656485478407447
PLT;6;transport0006;GER01PLANTGER02TERM-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;23.0;2070.0;;1.1304347826086956;0.9130434782608695;1.2608695652173914;1.2173913043478262;1.0869565217391304;1.1304347826086956;1.3478260869565217;0.9565217391304348;0.8695652173913043;1.3043478260869565;1.2391081663280752;0.48041452863877254;11.049534158691769;17.449953666853958
PLT;7;transport0007;GER01PLANTGER02TERM-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;18.0;1620.0;;0.9444444444444444;1.1666666666666667;1.1666666666666667;1.1111111111111112;1.0;;0.8888888888888888;1.3888888888888888;;;1.2391081663280752;0.48041452863877254;8.647461515497906;13.656485478407447
PLT;8;transport0008;GER01PLANTGER02TERM-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;9.0;810.0;;1.3333333333333333;1.2222222222222223;;1.2222222222222223;1.3333333333333333;;1.3333333333333333;1.5555555555555556;1.3333333333333333;1.3333333333333333;1.2391081663280752;0.48041452863877254;4.323730757748953;6.8282427392037235
PLT;9;transport0009;GER01PLANTGER02TERM-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;9.0;810.0;;1.0;1.2222222222222223;1.5555555555555556;0.8888888888888888;1.3333333333333333;1.0;0.8888888888888888;1.3333333333333333;1.2222222222222223;1.4444444444444444;1.2391081663280752;0.48041452863877254;4.323730757748953;6.8282427392037235
PLT;10;transport0010;GER01PLANTGER02TERM-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;18.0;1620.0;;1.3888888888888888;1.1111111111111112;0.9444444444444444;0.8888888888888888;1.1111111111111112;1.3888888888888888;1.0555555555555556;1.0555555555555556;1.1666666666666667;1.1666666666666667;1.2391081663280752;0.48041452863877254;8.647461515497906;13.656485478407447
