#PLT-Keyword;PlannedTransportID;PlannedTransportCode;PathSegmentCode;Departure;Arrival;Capacity;TotalPrice;Unnamed: 8;CapacityRelDiff001;CapacityRelDiff002;CapacityRelDiff003;CapacityRelDiff004;CapacityRelDiff005;CapacityRelDiff006;CapacityRelDiff007;CapacityRelDiff008;CapacityRelDiff009;CapacityRelDiff010;MeanRelDiff;StdRelDiff;AdjustedCapacity
PLT;1;transport0001;GER01PLANTBEL01TERM-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;10.0;0.0;;1.0;1.3;1.1;1.1;1.0;0.8;;1.3;1.0;1.2;1.0888888888888888;0.16158932858054428;9.272995603083444
PLT;2;transport0002;GER01PLANTBEL01TERM-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;19.0;0.0;;1.0;1.2105263157894737;1.105263157894737;1.1578947368421053;1.0526315789473684;1.105263157894737;1.0;1.105263157894737;1.0526315789473684;1.0;1.0789473684210527;0.07126349477750844;19.0
PLT;3;transport0003;GER01PLANTBEL01TERM-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;8.0;0.0;;1.25;0.875;1.125;1.0;1.0;1.0;0.75;0.875;1.25;0.875;1.0;0.16666666666666666;6.666666666666667
PLT;4;transport0004;GER01PLANTBEL01TERM-TRUCK-01;05/06/2025-00:00:00;07/06/2025-00:00:00;8.0;0.0;;1.25;1.0;;1.125;1.125;1.25;1.375;;0.875;0.875;1.109375;0.18221724671391565;7.417262026288675
PLT;5;transport0005;GER01PLANTBEL01TERM-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;8.0;0.0;;1.375;1.25;1.125;1.125;1.25;1.375;1.375;1.375;1.0;0.75;1.2;0.20581815058714115;7.9534547953028705
PLT;6;transport0006;GER01PLANTBEL01TERM-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;10.0;0.0;;1.2;1.3;0.8;1.0;1.1;1.3;1.1;1.1;1.2;1.0;1.1099999999999999;0.15238839267549947;9.576116073245004
PLT;7;transport0007;GER01PLANTBEL01TERM-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;19.0;0.0;;0.9473684210526315;1.1578947368421053;;0.9473684210526315;1.1578947368421053;1.0;1.1578947368421053;1.2105263157894737;1.2105263157894737;1.0;1.087719298245614;0.11164843913471806;18.545346323107022
PLT;8;transport0008;GER01PLANTBEL01TERM-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;8.0;0.0;;1.25;1.125;0.875;1.375;1.125;1.0;1.375;1.375;1.375;1.0;1.1875;0.1886538570445295;7.990769143643764
PLT;9;transport0009;GER01PLANTBEL01TERM-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;8.0;0.0;;0.875;1.0;0.875;0.75;1.25;1.0;1.25;1.125;1.125;0.875;1.0125;0.1712900399257872;6.729679680593702
PLT;10;transport0010;GER01PLANTBEL01TERM-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;8.0;0.0;;1.0;0.75;1.375;1.0;0.875;0.75;0.75;0.875;1.25;1.25;0.9875;0.2316157018281216;6.047074385375027
PLT;11;transport0011;GER01PLANTBEL01TERM-TRUCK-01;16/06/2025-00:00:00;18/06/2025-00:00:00;10.0;0.0;;0.8;0.8;1.2;1.1;1.1;1.2;1.3;1.2;0.8;1.1;1.06;0.18973665961010275;8.702633403898973
PLT;12;transport0012;GER01PLANTBEL01TERM-TRUCK-01;17/06/2025-00:00:00;19/06/2025-00:00:00;19.0;0.0;;1.0;1.0;1.0;1.2105263157894737;1.2105263157894737;1.1578947368421053;1.1578947368421053;;1.1578947368421053;1.105263157894737;1.1111111111111112;0.0890253646060721;19.0
PLT;13;transport0013;GER01PLANTBEL01TERM-TRUCK-01;18/06/2025-00:00:00;20/06/2025-00:00:00;8.0;0.0;;0.75;1.125;0.875;1.0;0.875;1.25;1.0;0.75;1.375;1.125;1.0125;0.2079162491645775;6.4366700066833795
PLT;14;transport0014;GER01PLANTBEL01TERM-TRUCK-01;19/06/2025-00:00:00;21/06/2025-00:00:00;8.0;0.0;;1.25;1.375;1.375;1.25;1.375;0.875;0.75;0.625;0.75;1.25;1.0875;0.3007513738769765;6.2939890089841874
PLT;15;transport0015;GER01PLANTBEL01TERM-TRUCK-01;20/06/2025-00:00:00;22/06/2025-00:00:00;8.0;0.0;;1.375;1.125;;0.75;0.875;1.125;1.125;0.75;0.75;0.75;0.9583333333333334;0.23385358667337133;5.7958379732796965
PLT;16;transport0016;GER01PLANTBEL01TERM-TRUCK-01;23/06/2025-00:00:00;25/06/2025-00:00:00;10.0;0.0;;0.9;1.1;1.0;0.8;1.1;0.9;1.0;1.0;1.0;1.3;1.0100000000000002;0.1370320319406298;8.729679680593705
PLT;17;transport0017;GER01PLANTBEL01TERM-TRUCK-01;24/06/2025-00:00:00;26/06/2025-00:00:00;19.0;0.0;;0.9473684210526315;1.0526315789473684;1.0;1.0526315789473684;1.105263157894737;1.1578947368421053;0.9473684210526315;1.2105263157894737;;1.0;1.0526315789473684;0.09116056881941463;18.26794919243112
PLT;18;transport0018;GER01PLANTBEL01TERM-TRUCK-01;25/06/2025-00:00:00;27/06/2025-00:00:00;8.0;0.0;;0.75;1.125;1.25;1.0;;1.0;1.0;1.0;0.75;0.875;0.9722222222222222;0.16271353491472199;6.476069498460002
PLT;19;transport0019;GER01PLANTBEL01TERM-TRUCK-01;26/06/2025-00:00:00;28/06/2025-00:00:00;8.0;0.0;;0.875;1.25;1.25;1.375;0.75;1.375;0.875;1.375;1.375;0.75;1.125;0.27638539919628335;6.788916806429733
PLT;20;transport0020;GER01PLANTBEL01TERM-TRUCK-01;27/06/2025-00:00:00;29/06/2025-00:00:00;8.0;0.0;;1.375;1.25;0.75;1.25;1.375;0.875;1.375;1.125;1.375;1.0;1.175;0.22973414586817037;7.562126833054638
PLT;21;transport0021;GER01PLANTBEL01TERM-TRUCK-01;30/06/2025-00:00:00;02/07/2025-00:00:00;10.0;0.0;;0.9;1.0;1.3;1.2;;;0.8;1.1;0.9;1.2;1.05;0.17728105208558365;8.727189479144164
PLT;22;transport0022;GER01PLANTBEL01TERM-TRUCK-01;01/07/2025-00:00:00;03/07/2025-00:00:00;19.0;0.0;;0.9473684210526315;1.105263157894737;0.9473684210526315;1.0526315789473684;1.1578947368421053;1.0526315789473684;1.1578947368421053;1.0526315789473684;1.105263157894737;1.0526315789473684;1.0631578947368419;0.0736006209242212;18.801588202439792
PLT;23;transport0023;GER01PLANTBEL01TERM-TRUCK-01;02/07/2025-00:00:00;04/07/2025-00:00:00;8.0;0.0;;1.125;1.125;1.125;;0.75;1.25;0.875;1.25;1.0;;1.0625;0.1767766952966369;7.085786437626905
PLT;24;transport0024;GER01PLANTBEL01TERM-TRUCK-01;03/07/2025-00:00:00;05/07/2025-00:00:00;8.0;0.0;;1.125;1.25;1.25;0.75;0.75;0.875;0.75;0.75;0.75;0.875;0.9125;0.21286732957408;5.597061363407359
PLT;25;transport0025;GER01PLANTBEL01TERM-TRUCK-01;04/07/2025-00:00:00;06/07/2025-00:00:00;8.0;0.0;;0.875;1.125;1.375;1.375;0.875;1.125;1.375;1.25;1.25;1.375;1.2;0.19720265943665388;8.0
PLT;26;transport0026;GER01PLANTBEL01TERM-TRUCK-01;07/07/2025-00:00:00;09/07/2025-00:00:00;10.0;0.0;;1.3;0.8;1.3;1.1;1.0;1.3;1.3;1.2;;1.0;1.1444444444444446;0.1810463415200036;9.63398102924441
PLT;27;transport0027;GER01PLANTBEL01TERM-TRUCK-01;08/07/2025-00:00:00;10/07/2025-00:00:00;19.0;0.0;;1.105263157894737;1.105263157894737;0.9473684210526315;1.105263157894737;0.9473684210526315;1.0;1.1578947368421053;1.0;1.105263157894737;1.105263157894737;1.0578947368421052;0.0762704039273129;18.650862325381055
PLT;28;transport0028;GER01PLANTBEL01TERM-TRUCK-01;09/07/2025-00:00:00;11/07/2025-00:00:00;8.0;0.0;;1.125;1.25;1.0;0.875;1.0;0.875;1.375;1.25;1.25;1.25;1.125;0.1767766952966369;7.585786437626905
PLT;29;transport0029;GER01PLANTBEL01TERM-TRUCK-01;10/07/2025-00:00:00;12/07/2025-00:00:00;8.0;0.0;;;0.75;1.0;0.75;1.375;0.75;0.875;1.0;1.125;1.375;1.0;0.25;6.0
PLT;30;transport0030;GER01PLANTBEL01TERM-TRUCK-01;11/07/2025-00:00:00;13/07/2025-00:00:00;8.0;0.0;;1.125;1.125;0.75;0.875;0.875;1.25;1.125;0.75;;1.125;1.0;0.1875;6.5
PLT;31;transport0031;GER01PLANTBEL01TERM-TRUCK-01;14/07/2025-00:00:00;16/07/2025-00:00:00;10.0;0.0;;1.2;0.8;0.9;1.3;0.9;1.0;1.2;1.3;1.3;1.1;1.1;0.18856180831641267;9.114381916835875
PLT;32;transport0032;GER01PLANTBEL01TERM-TRUCK-01;15/07/2025-00:00:00;17/07/2025-00:00:00;19.0;0.0;;1.0526315789473684;1.105263157894737;1.0;0.8947368421052632;1.0526315789473684;1.0526315789473684;1.1578947368421053;;1.2105263157894737;1.1578947368421053;1.0760233918128652;0.09528754816842296;18.633981029244403
PLT;33;transport0033;GER01PLANTBEL01TERM-TRUCK-01;16/07/2025-00:00:00;18/07/2025-00:00:00;8.0;0.0;;0.875;1.375;1.375;1.0;1.25;0.875;1.125;0.75;1.375;0.875;1.0875;0.2433133553442739;6.753493157245808
PLT;34;transport0034;GER01PLANTBEL01TERM-TRUCK-01;17/07/2025-00:00:00;19/07/2025-00:00:00;8.0;0.0;;1.0;0.75;;1.0;1.125;1.375;;1.0;0.875;0.75;0.984375;0.2052600702245116;6.232919438203908
PLT;35;transport0035;GER01PLANTBEL01TERM-TRUCK-01;18/07/2025-00:00:00;20/07/2025-00:00:00;8.0;0.0;;1.0;0.75;0.75;0.75;0.875;1.375;1.125;0.875;1.25;1.0;0.975;0.21889875894272828;6.048809928458174
PLT;36;transport0036;GER01PLANTBEL01TERM-TRUCK-01;21/07/2025-00:00:00;23/07/2025-00:00:00;10.0;0.0;;1.0;1.2;1.1;0.9;1.1;1.1;0.8;1.3;1.3;1.0;1.08;0.16193277068654827;9.180672293134517
PLT;37;transport0037;GER01PLANTBEL01TERM-TRUCK-01;22/07/2025-00:00:00;24/07/2025-00:00:00;19.0;0.0;;0.9473684210526315;1.0;;1.1578947368421053;1.105263157894737;1.1578947368421053;0.9473684210526315;1.0526315789473684;1.1578947368421053;1.0;1.0584795321637428;0.08902536460607215;18.41962918359574
