#PathSegment;DayOfWeek;DepartureDate;Volume;TotalPrice
GER01PLANTGER02TERM-TRUCK-01;MONDAY;03/06/2024-00:00:00;23.0;2389.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;04/06/2024-00:00:00;23.0;1712.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;05/06/2024-00:00:00;13.0;1277.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;10/06/2024-00:00:00;26.0;2419.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;11/06/2024-00:00:00;19.0;1821.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;12/06/2024-00:00:00;12.0;960.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;13/06/2024-00:00:00;10.0;831.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;14/06/2024-00:00:00;23.0;2739.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;17/06/2024-00:00:00;24.0;2706.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;18/06/2024-00:00:00;18.0;2097.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;19/06/2024-00:00:00;9.0;688.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;20/06/2024-00:00:00;10.0;677.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;21/06/2024-00:00:00;15.0;1032.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;24/06/2024-00:00:00;31.0;1903.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;25/06/2024-00:00:00;17.0;1578.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;26/06/2024-00:00:00;9.0;1061.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;27/06/2024-00:00:00;11.0;729.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;28/06/2024-00:00:00;19.0;1853.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;01/07/2024-00:00:00;25.0;2116.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;02/07/2024-00:00:00;17.0;1812.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;03/07/2024-00:00:00;8.0;956.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;04/07/2024-00:00:00;9.0;803.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;05/07/2024-00:00:00;25.0;2619.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;08/07/2024-00:00:00;21.0;2184.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;09/07/2024-00:00:00;21.0;2290.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;10/07/2024-00:00:00;7.0;772.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;11/07/2024-00:00:00;9.0;824.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;12/07/2024-00:00:00;20.0;2279.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;15/07/2024-00:00:00;29.0;1973.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;16/07/2024-00:00:00;21.0;1365.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;17/07/2024-00:00:00;11.0;1306.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;18/07/2024-00:00:00;10.0;1033.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;19/07/2024-00:00:00;19.0;1955.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;22/07/2024-00:00:00;24.0;1646.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;23/07/2024-00:00:00;21.0;1843.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;24/07/2024-00:00:00;10.0;603.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;25/07/2024-00:00:00;7.0;450.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;26/07/2024-00:00:00;18.0;1456.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;29/07/2024-00:00:00;23.0;1848.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;30/07/2024-00:00:00;19.0;2120.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;31/07/2024-00:00:00;10.0;1183.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;01/08/2024-00:00:00;13.0;1455.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;02/08/2024-00:00:00;19.0;1838.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;05/08/2024-00:00:00;22.0;1556.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;06/08/2024-00:00:00;17.0;1242.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;07/08/2024-00:00:00;11.0;1224.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;08/08/2024-00:00:00;9.0;545.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;09/08/2024-00:00:00;25.0;2538.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;12/08/2024-00:00:00;25.0;2657.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;13/08/2024-00:00:00;18.0;1850.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;14/08/2024-00:00:00;10.0;727.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;15/08/2024-00:00:00;8.0;856.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;16/08/2024-00:00:00;17.0;1984.0
GER01PLANTGER02TERM-TRUCK-01;MONDAY;19/08/2024-00:00:00;27.0;1643.0
GER01PLANTGER02TERM-TRUCK-01;TUESDAY;20/08/2024-00:00:00;18.0;1506.0
GER01PLANTGER02TERM-TRUCK-01;WEDNESDAY;21/08/2024-00:00:00;10.0;1112.0
GER01PLANTGER02TERM-TRUCK-01;THURSDAY;22/08/2024-00:00:00;10.0;1072.0
GER01PLANTGER02TERM-TRUCK-01;FRIDAY;23/08/2024-00:00:00;19.0;2273.0
